age,income,loan_amount,credit_score,employment_years,num_existing_loans,loan_purpose,property_area,approved
37,47323,148609,659,26,7,business,rural,0
56,136205,27419,739,22,3,personal,semi_urban,0
60,91762,440794,569,2,7,personal,urban,0
24,107225,211063,433,11,7,car,semi_urban,0
22,116507,126211,403,29,5,education,semi_urban,0
26,45954,389906,394,30,5,car,semi_urban,0
62,75021,210671,779,22,2,home,semi_urban,1
24,109959,5834,540,0,1,car,urban,1
49,115927,299358,312,19,5,education,semi_urban,0
38,99866,229006,446,5,7,home,semi_urban,1
46,90427,259870,394,10,5,personal,rural,1
64,24992,498244,592,34,3,home,rural,0
54,21961,257358,324,3,4,car,urban,0
30,32497,7413,571,28,4,home,urban,0
56,137551,14505,804,9,4,car,semi_urban,1
34,52551,256753,465,28,0,home,rural,0
51,96384,369946,386,0,4,home,semi_urban,0
35,145374,138177,790,7,4,car,urban,0
28,75755,204176,440,16,0,car,urban,1
34,33255,395447,402,18,7,car,urban,0
43,24567,119897,525,32,7,home,urban,0
60,68847,63408,593,14,7,car,semi_urban,0
41,124817,173751,605,30,3,car,semi_urban,0
36,68003,121908,553,20,1,car,urban,0
38,40389,250993,479,2,5,personal,urban,0
44,64523,235168,339,1,2,car,urban,0
46,143802,84731,819,34,5,car,rural,1
45,81576,332275,845,15,7,business,semi_urban,1
61,147342,331424,535,20,7,personal,rural,0
49,63919,282906,762,11,4,business,semi_urban,1
35,102103,122798,527,27,4,education,urban,1
21,142443,121854,782,11,6,car,urban,1
45,23358,242902,729,32,5,home,semi_urban,0
27,108535,325847,321,19,7,education,semi_urban,0
29,127894,479650,642,20,5,business,semi_urban,0
44,141485,68079,339,21,6,education,rural,0
21,96524,26577,472,25,4,personal,semi_urban,0
64,143416,268358,738,6,7,car,urban,1
28,125982,353483,478,6,0,car,rural,0
44,117057,315258,432,7,7,business,semi_urban,1
31,25698,487450,650,25,0,personal,urban,0
37,86809,330374,824,23,0,business,semi_urban,0
28,113079,169052,839,23,2,personal,semi_urban,1
55,75805,72194,805,11,1,car,urban,1
55,51349,476022,383,7,4,car,semi_urban,0
53,96777,117333,763,8,3,business,urban,0
25,70248,42792,642,2,5,education,urban,1
62,95033,50807,579,20,5,home,urban,1
59,127411,392410,562,30,4,car,urban,1
61,118239,420517,465,23,4,car,urban,1
48,64041,141213,592,3,4,home,urban,1
27,51954,109292,808,19,5,personal,rural,0
29,28002,127984,525,15,6,home,urban,0
28,89783,18777,469,9,4,car,semi_urban,0
32,127524,43346,747,25,5,personal,urban,1
54,107234,321847,801,28,1,car,rural,1
53,144857,99977,826,4,3,personal,urban,1
43,39738,314963,678,10,0,car,urban,0
44,30703,426685,500,28,6,business,urban,0
57,133776,139917,549,14,3,home,rural,1
55,69422,377330,708,5,4,home,semi_urban,0
64,103106,28290,424,14,3,personal,urban,1
60,81899,379695,412,19,4,personal,urban,0
42,32392,428915,436,33,3,home,urban,0
47,64724,180324,795,1,2,business,urban,1
55,52299,365826,449,15,7,car,rural,0
21,35641,139365,642,18,3,business,semi_urban,1
55,99534,385161,620,33,7,car,semi_urban,1
57,26305,124496,831,13,0,car,urban,1
34,118262,324233,588,23,0,car,semi_urban,1
23,38782,414824,788,27,6,car,urban,1
21,98257,395857,791,31,3,car,urban,0
25,125299,202345,551,9,5,car,semi_urban,1
46,97963,283763,376,8,7,home,urban,0
34,132086,83006,691,23,5,home,semi_urban,1
59,141987,251471,711,28,5,home,rural,1
47,40566,223980,472,28,3,personal,urban,0
29,144591,479869,500,22,5,education,rural,1
35,87766,281923,516,26,1,personal,urban,0
35,26511,449256,675,30,3,business,urban,0
46,134816,230902,310,6,0,education,semi_urban,1
62,127765,454541,311,3,7,business,semi_urban,1
33,138360,288774,734,13,6,car,urban,0
52,46177,372719,672,9,5,home,rural,0
59,24765,120436,572,33,2,car,rural,1
52,40354,148250,808,25,5,car,urban,1
24,43929,418151,431,22,0,personal,rural,0
50,48820,445474,618,8,1,education,semi_urban,1
57,131576,289928,467,7,3,home,rural,0
43,49523,461938,696,13,5,personal,urban,0
59,91088,159099,479,6,2,car,rural,0
35,86163,494760,357,6,7,home,urban,1
63,97525,456069,779,8,6,education,rural,1
49,33780,379311,759,2,0,business,semi_urban,0
56,26589,72359,360,13,6,personal,urban,1
33,54812,208460,668,16,6,education,urban,1
52,113664,345752,420,21,2,car,rural,0
27,65939,474885,845,25,7,home,semi_urban,1
42,71493,282255,316,27,4,car,urban,1
48,124188,168384,795,13,0,personal,semi_urban,1
22,113326,265393,796,8,4,car,rural,1
62,60953,291305,804,25,2,home,urban,0
26,85785,386064,831,1,3,business,urban,0
48,39309,371967,614,10,3,personal,rural,0
48,74195,392158,368,16,3,education,urban,0
64,135662,135466,460,33,6,home,urban,1
64,45901,334457,444,18,4,home,urban,0
40,43576,186446,684,17,6,home,rural,0
50,51508,422230,568,12,3,education,urban,0
31,94711,85308,753,4,6,home,semi_urban,0
48,45464,313533,817,22,1,personal,rural,1
45,80281,246235,649,23,0,business,urban,1
59,36260,416377,409,28,0,car,rural,0
53,144997,112800,782,7,7,car,semi_urban,1
21,55440,405706,706,25,6,personal,semi_urban,1
47,115082,386691,350,14,7,business,urban,0
33,125583,243269,702,0,2,personal,semi_urban,1
61,76683,29502,775,27,5,home,urban,1
23,144206,40757,386,13,4,home,urban,0
59,61430,308255,367,33,0,personal,rural,0
26,21987,103273,341,30,6,education,urban,0
28,134778,481461,356,5,4,home,rural,0
47,45105,63645,495,4,2,car,urban,0
29,98484,377362,361,30,3,personal,urban,0
57,138747,326199,562,14,5,home,rural,1
53,33026,124815,411,14,2,personal,urban,0
62,88309,407214,477,4,1,home,rural,0
64,65927,164978,325,27,3,personal,semi_urban,0
44,95414,368170,709,32,3,education,urban,0
35,77535,337336,830,10,3,car,semi_urban,1
52,62946,186549,616,5,2,personal,urban,1
52,146503,172973,831,22,1,personal,urban,1
44,76561,227343,405,1,5,business,semi_urban,0
61,30377,57021,763,14,4,car,urban,0
32,73592,34092,545,22,2,education,urban,1
59,27347,399458,380,21,0,education,rural,0
22,53776,373987,695,8,0,car,rural,0
23,23783,137903,821,29,2,personal,semi_urban,1
57,75798,317865,563,15,4,home,semi_urban,1
37,24298,295655,573,29,0,home,semi_urban,1
22,90204,77782,471,8,4,car,semi_urban,1
22,106207,364147,564,0,3,home,semi_urban,0
48,120356,416518,325,7,2,business,rural,0
43,75161,322712,768,17,3,education,urban,1
57,80652,401448,775,26,0,car,semi_urban,1
52,54484,369206,655,17,4,personal,rural,0
53,118614,371445,325,31,3,car,semi_urban,0
21,149572,318651,333,31,0,education,rural,1
39,132695,129277,563,20,6,home,urban,0
22,40922,134999,437,31,1,car,urban,1
64,54028,212580,761,30,3,home,rural,1
46,131461,249744,467,15,1,education,urban,1
52,40316,105128,380,13,1,car,semi_urban,0
26,96996,277827,706,23,5,car,urban,0
52,36968,28664,345,24,7,car,rural,0
24,50266,107364,352,34,0,home,semi_urban,1
31,145679,256084,775,16,2,business,urban,1
37,115745,169244,315,3,4,home,semi_urban,0
58,44000,481857,659,10,6,personal,semi_urban,0
44,143239,69340,786,14,0,car,urban,1
25,34011,92236,801,29,5,education,semi_urban,1
54,22866,16017,440,23,5,car,semi_urban,0
26,132669,303757,746,1,6,business,urban,0
42,25898,266879,589,33,3,home,rural,1
31,38395,484346,508,22,4,education,urban,1
36,59019,475136,774,30,5,business,urban,1
53,123243,35348,712,12,2,personal,semi_urban,1
29,24006,414664,726,32,0,car,semi_urban,1
26,54393,276635,670,6,2,business,rural,1
36,30956,214720,589,31,3,personal,urban,0
49,70042,126070,731,6,7,home,urban,1
23,116199,232629,567,12,0,car,urban,1
40,26078,325903,450,23,3,car,rural,0
56,49631,442769,554,27,4,car,semi_urban,0
39,115676,399184,652,31,4,personal,semi_urban,1
46,141724,267512,676,17,7,education,urban,1
23,82901,472176,657,33,2,home,rural,1
39,127227,40010,669,33,2,personal,semi_urban,1
40,89497,452370,526,0,4,home,rural,0
52,114813,40851,602,30,1,business,urban,1
27,137192,127761,688,0,4,business,semi_urban,1
61,61574,423712,676,15,6,business,rural,1
53,138494,259640,417,14,0,personal,semi_urban,0
60,51417,394296,304,32,6,home,urban,0
59,108020,167008,743,22,3,car,rural,1
38,103639,83858,651,33,4,home,urban,0
60,85006,72005,832,16,4,home,urban,0
21,114881,42493,423,24,7,education,semi_urban,0
31,131862,205867,576,5,7,home,semi_urban,0
48,59454,172462,693,30,5,business,rural,1
45,21587,15292,659,4,3,business,urban,0
43,141688,359521,768,29,5,car,semi_urban,0
51,128107,164437,356,4,3,car,semi_urban,1
50,135584,415423,550,11,6,car,urban,0
62,74710,106735,449,6,0,personal,rural,1
55,143157,27912,751,12,3,education,rural,1
27,106567,85771,461,3,2,home,semi_urban,1
36,111748,192644,419,2,7,car,urban,0
46,95886,112293,650,11,4,car,rural,1
22,38816,104083,398,0,7,business,urban,0
21,105824,118655,466,26,3,home,urban,1
32,49432,417492,813,12,0,home,urban,1
25,129758,102459,700,16,3,personal,urban,0
57,68617,403750,664,7,4,personal,rural,0
52,92373,228077,625,31,1,personal,semi_urban,1
29,54217,237682,546,19,3,car,rural,0
61,40884,433886,733,16,2,education,urban,0
55,25454,460363,392,33,7,education,semi_urban,0
39,94960,234171,567,34,4,home,rural,1
36,122421,378839,620,34,0,education,rural,0
23,127173,172558,361,23,6,home,semi_urban,0
40,63618,463773,599,17,6,car,urban,0
44,103948,301412,702,32,4,business,rural,1
53,82671,112338,602,22,5,car,urban,0
44,67111,479551,552,24,1,business,semi_urban,0
31,59613,293480,777,26,0,home,semi_urban,1
28,105678,270785,668,0,1,car,semi_urban,1
56,140592,92132,459,20,6,education,semi_urban,0
58,122928,300103,465,9,1,personal,semi_urban,0
60,144917,149378,504,30,2,car,urban,1
40,79993,182254,566,24,7,personal,semi_urban,0
55,148652,79123,437,19,6,home,semi_urban,1
45,28848,454542,667,1,3,business,urban,0
55,134853,232967,742,14,2,home,urban,1
45,98672,26498,316,27,2,personal,urban,1
49,139279,75198,367,12,5,car,semi_urban,1
38,86125,32197,432,13,2,personal,rural,1
38,106444,156791,729,1,0,education,urban,1
22,137509,488417,607,33,3,home,semi_urban,0
55,81602,113775,473,34,3,business,semi_urban,0
36,92045,292176,711,24,6,home,urban,0
61,125997,326768,396,14,0,home,rural,0
56,62222,345321,453,11,2,personal,urban,0
53,69223,309108,541,8,2,home,rural,0
24,130012,166100,603,30,1,home,urban,0
53,131246,116030,584,13,6,car,urban,0
34,85333,321790,326,28,6,personal,urban,0
41,72732,348331,701,7,1,home,urban,0
40,142650,406752,659,2,5,car,rural,1
28,69420,122399,359,1,4,personal,urban,0
27,95504,61747,501,15,1,personal,semi_urban,1
23,22462,50712,669,18,3,business,urban,0
37,29460,404489,832,29,7,personal,rural,0
53,119319,338964,451,15,0,education,rural,1
32,145602,130342,401,30,2,car,semi_urban,1
42,29275,96228,745,27,4,home,urban,0
42,114213,341497,528,3,1,personal,semi_urban,0
50,33269,492707,424,9,6,business,urban,0
58,149593,97091,535,17,4,personal,urban,1
58,142672,353058,461,31,0,home,semi_urban,1
28,85942,186902,652,29,7,car,rural,1
47,92920,373862,367,8,0,education,rural,1
47,140737,415343,472,28,6,education,semi_urban,0
54,42553,251222,560,15,4,personal,semi_urban,0
41,44366,219560,516,27,4,education,rural,0
50,64036,16539,423,20,5,home,semi_urban,1
53,37369,182833,461,1,4,business,semi_urban,0
48,31795,313363,500,34,2,education,rural,1
53,90021,412908,753,27,7,home,urban,0
25,127205,481872,701,30,7,car,urban,0
39,88154,280478,761,32,7,business,semi_urban,0
24,50143,426831,574,22,3,personal,urban,0
55,49425,275047,505,16,1,car,urban,0
37,108209,426743,339,0,6,home,semi_urban,0
64,95139,413845,572,22,1,home,semi_urban,0
48,125232,63008,392,26,7,home,rural,0
50,25368,481492,341,24,1,education,urban,0
49,24621,366462,764,31,4,education,urban,0
26,78829,424924,678,18,6,education,urban,0
55,149036,146932,406,23,4,personal,semi_urban,1
61,80294,415654,627,2,5,home,semi_urban,0
57,34719,72300,364,11,4,home,semi_urban,1
44,49227,396407,664,34,5,car,urban,0
49,129430,469761,783,14,5,home,semi_urban,0
51,27566,287986,323,16,2,home,semi_urban,0
55,32306,196285,839,31,2,education,urban,0
53,73822,309516,361,6,2,personal,semi_urban,0
41,44042,381460,790,18,7,personal,semi_urban,1
52,35086,103971,572,6,2,personal,rural,0
43,37387,467122,528,4,0,education,rural,0
53,47042,43744,319,20,2,personal,semi_urban,0
23,109424,383226,302,6,2,home,rural,0
38,71618,324586,720,22,2,business,semi_urban,1
45,112050,396214,606,10,5,home,rural,1
62,38323,90990,731,9,1,home,urban,1
51,38019,388814,435,20,6,home,semi_urban,0
23,95426,374061,814,32,1,business,semi_urban,1
60,60863,239975,492,19,1,business,semi_urban,1
44,140953,8650,714,32,3,personal,urban,1
52,131023,50117,417,34,0,education,urban,0
42,30283,358388,508,33,5,car,urban,0
43,38279,450988,333,26,4,business,urban,0
22,66999,270334,617,18,5,education,urban,0
47,82780,53113,419,4,2,business,semi_urban,0
62,42908,144861,824,28,1,car,rural,1
22,81584,37125,388,9,5,car,semi_urban,1
46,146278,234767,811,12,0,personal,rural,1
37,133002,397144,346,28,2,home,rural,1
60,70225,415675,821,4,3,business,semi_urban,1
53,57952,171490,583,11,4,car,urban,0
29,120706,379048,676,12,2,business,urban,0
63,57663,183157,433,21,6,car,rural,0
59,142019,23768,547,14,4,personal,urban,1
49,129708,186033,617,12,5,car,semi_urban,0
62,81381,348243,735,0,2,education,urban,0
46,67929,258807,475,0,3,car,rural,0
55,29343,163957,650,10,5,business,semi_urban,0
45,96173,92421,442,21,0,education,rural,1
44,120260,197154,697,34,4,home,urban,1
33,59791,274039,668,5,4,business,urban,0
27,49134,186383,800,27,0,home,semi_urban,0
56,132366,225566,669,30,7,car,rural,1
40,67101,203139,681,7,7,home,semi_urban,0
21,89443,76017,385,4,6,personal,rural,0
28,119111,291076,759,16,7,home,rural,1
36,77530,26360,624,8,4,home,rural,1
34,66799,321991,821,9,7,business,semi_urban,1
32,24827,95365,788,19,5,personal,urban,1
43,116143,90468,696,13,1,home,urban,0
35,82653,262137,654,13,6,personal,rural,1
48,33699,306075,587,25,0,business,rural,1
54,122828,60823,758,28,3,home,semi_urban,0
22,133497,305176,835,26,6,personal,urban,1
52,111419,251991,590,24,2,car,urban,1
43,134527,217498,467,15,7,education,rural,0
42,136972,23807,727,33,2,car,urban,1
45,25313,409983,789,15,0,education,rural,0
42,33598,144143,654,32,7,home,urban,0
42,131362,58413,495,2,1,personal,semi_urban,0
62,135445,162221,844,22,5,home,rural,1
26,48807,20540,310,10,3,car,urban,0
35,90423,237284,555,17,2,home,urban,1
63,89390,75248,695,28,2,personal,rural,0
57,65226,257515,708,4,5,car,semi_urban,0
53,79550,227809,661,23,1,car,rural,0
28,100072,115494,558,28,4,car,rural,0
64,23558,254643,302,28,6,personal,urban,0
64,95308,90435,383,25,0,car,urban,1
25,70113,24787,455,2,1,personal,semi_urban,1
59,72999,288126,475,1,1,home,urban,0
24,75878,255768,771,24,1,home,semi_urban,1
26,56343,27606,723,18,1,education,rural,1
52,78219,263632,433,1,4,business,urban,0
50,55186,408366,679,18,5,home,semi_urban,1
55,56966,484145,576,0,3,home,urban,0
60,53769,253495,535,26,6,home,urban,1
36,139932,238867,312,34,1,education,semi_urban,0
33,146264,117223,641,4,6,car,rural,1
62,125423,51936,334,3,1,personal,urban,1
50,73218,98286,513,16,0,home,semi_urban,0
39,39229,406809,711,20,2,home,semi_urban,0
37,95209,415574,704,30,4,car,urban,0
39,47877,480359,793,21,1,education,semi_urban,0
48,78001,42381,458,10,7,education,rural,0
46,117137,388609,409,33,3,home,semi_urban,1
57,58084,488563,848,14,3,business,urban,0
46,101780,295218,825,9,3,car,semi_urban,1
43,112892,418811,646,31,7,personal,semi_urban,1
29,36806,49194,578,30,0,car,urban,1
32,108635,185449,778,27,3,home,urban,1
21,130177,293997,410,30,5,personal,urban,1
21,57034,340863,730,5,0,personal,urban,1
54,60317,156733,841,13,4,car,urban,1
52,75468,186565,414,22,3,education,semi_urban,0
45,39094,123724,389,15,2,home,urban,0
60,77796,242777,511,24,1,education,rural,0
21,30589,172567,849,1,4,car,semi_urban,0
36,77221,18703,838,33,5,personal,rural,0
59,144855,451296,659,24,2,home,semi_urban,1
25,21657,429031,785,15,4,home,urban,1
42,118300,427781,671,17,5,home,semi_urban,0
49,137229,461537,514,12,3,home,rural,0
23,59531,384635,314,26,4,car,urban,1
32,72227,63453,558,33,4,home,urban,1
46,23164,93478,762,10,4,personal,urban,0
36,113078,300305,419,0,0,home,urban,1
57,103973,192063,427,12,7,personal,urban,1
42,61247,381440,822,29,2,education,urban,0
49,124041,243411,624,4,6,business,urban,1
34,39601,407932,619,17,5,business,semi_urban,0
48,113966,300493,805,13,7,personal,urban,1
25,70599,52098,825,12,3,personal,semi_urban,1
50,91545,375579,349,31,1,car,semi_urban,1
25,135295,398348,368,6,3,personal,semi_urban,0
32,24552,56990,690,7,3,business,urban,1
36,136452,336065,682,6,0,home,semi_urban,1
46,29417,172610,315,15,0,car,urban,0
46,78579,105572,738,30,4,home,semi_urban,0
41,127525,497495,431,26,7,education,semi_urban,1
59,88207,241981,547,32,3,car,urban,1
56,92055,274357,572,28,2,education,urban,1
53,122266,129693,648,7,0,education,urban,1
50,98270,180295,783,32,5,business,urban,0
57,131426,358799,849,18,7,education,urban,0
43,137865,266498,656,20,0,personal,rural,1
30,23722,335515,617,20,2,car,urban,1
25,90442,73274,347,24,0,car,semi_urban,0
56,115632,374997,309,22,6,car,semi_urban,0
54,60031,271278,532,10,2,home,semi_urban,1
51,99235,358572,335,32,7,car,rural,0
30,41438,44601,712,19,6,education,rural,0
39,78819,341033,761,24,6,education,rural,0
52,63856,282834,303,25,1,education,rural,0
21,53576,269053,343,11,2,car,urban,0
25,61938,358383,554,31,1,car,semi_urban,1
24,69028,347176,413,32,5,education,rural,0
36,79807,17062,696,9,4,home,semi_urban,1
44,69877,342530,473,3,4,home,rural,1
36,117783,229309,554,14,7,home,urban,1
22,63461,170803,765,5,7,home,semi_urban,0
48,113474,141225,576,26,7,home,rural,1
52,60469,146553,763,4,6,home,urban,0
47,103136,104270,801,4,0,home,semi_urban,1
40,40435,333569,740,17,2,education,urban,1
44,104117,199672,368,27,0,home,semi_urban,1
32,34191,89981,808,34,2,car,rural,1
55,104726,470213,625,21,7,business,urban,0
53,143658,109470,366,33,0,personal,urban,1
53,135660,164277,603,3,4,car,urban,0
63,47386,93887,783,17,5,business,rural,0
57,51721,348686,847,25,4,car,semi_urban,1
32,74786,442365,716,21,0,home,urban,1
23,33704,316256,458,32,2,business,urban,1
21,76635,147012,448,13,3,personal,rural,0
53,22123,326154,326,30,5,car,rural,0
60,110710,212866,547,9,2,education,urban,1
30,129837,291629,400,23,0,education,urban,0
63,134912,94299,395,20,2,home,rural,1
64,82993,372728,683,7,7,home,semi_urban,0
49,132752,399283,581,31,1,car,rural,1
33,100122,287751,621,30,2,business,semi_urban,1
32,117512,245491,695,33,4,home,semi_urban,1
51,45416,66597,577,22,6,personal,semi_urban,0
22,21814,262808,828,24,4,home,rural,0
55,98537,341698,562,6,1,car,urban,0
43,70258,446737,592,18,5,education,urban,0
37,36508,248554,593,6,2,education,urban,0
46,105166,282331,694,7,5,home,rural,1
28,98916,238983,812,13,3,car,semi_urban,0
49,133710,271129,479,0,2,education,urban,0
46,55699,179124,534,12,4,home,semi_urban,0
30,66335,155635,636,2,6,home,urban,1
46,66806,183394,307,27,4,education,urban,0
54,97853,197317,742,14,5,car,urban,1
61,83768,318658,838,2,0,home,semi_urban,1
27,55739,285752,390,3,4,car,semi_urban,0
24,54785,465478,571,4,0,business,rural,1
31,51980,490334,304,25,4,home,rural,0
49,109335,338471,518,24,7,education,semi_urban,0
56,120719,193297,417,9,4,home,semi_urban,1
45,114702,472210,414,7,6,home,urban,0
41,105016,257773,562,11,3,home,urban,0
56,21609,284365,605,2,0,car,urban,0
30,86253,315650,721,26,0,personal,semi_urban,0
57,105481,288112,506,22,4,home,urban,1
29,111128,394821,602,32,7,education,urban,0
44,48141,218678,411,13,0,car,semi_urban,0
55,50009,426153,716,22,4,home,urban,0
55,147581,460651,584,30,4,car,semi_urban,1
56,130966,185580,484,12,5,personal,semi_urban,0
38,26782,266776,520,11,2,personal,urban,0
59,112072,177903,743,34,0,personal,urban,1
52,119352,441149,416,17,6,car,urban,0
44,45933,445523,369,20,1,personal,urban,0
43,97154,184412,369,0,5,home,semi_urban,0
52,28307,107951,726,8,0,personal,rural,0
57,112207,375450,742,22,6,business,urban,1
32,126209,484554,436,13,7,home,urban,0
33,128297,310745,803,10,0,car,rural,1
43,95874,212028,430,6,3,education,urban,0
45,58346,77178,517,30,1,personal,urban,0
55,132138,221383,470,23,1,home,semi_urban,1
61,70772,164826,774,25,6,business,semi_urban,0
50,92084,441526,428,29,3,education,semi_urban,0
37,60149,74893,356,33,3,home,semi_urban,1
40,106700,353943,480,4,0,home,urban,0
45,47526,315511,545,4,2,personal,semi_urban,1
42,116758,280345,443,18,6,home,urban,1
33,105712,400955,350,27,3,home,rural,0
39,148447,280375,667,25,1,education,rural,1
56,88477,261682,758,22,6,education,urban,1
32,25695,243886,517,29,1,education,urban,0
61,59169,440711,556,2,0,car,urban,0
39,67947,419384,455,27,6,personal,urban,0
32,67224,430840,741,32,2,business,urban,1
29,65865,146707,324,2,4,home,semi_urban,0
27,45553,14964,835,4,6,personal,rural,0
48,124501,426001,359,18,3,business,urban,0
34,80410,231118,766,0,3,education,urban,1
51,123754,218869,733,8,0,education,urban,1
39,110895,220862,365,4,5,home,urban,0
36,44816,213000,405,33,5,car,urban,0
25,75026,17336,395,32,2,education,rural,0
55,70705,344619,467,24,1,personal,urban,0
32,81922,425628,341,28,1,business,rural,0
45,135700,87212,403,24,4,home,semi_urban,1
41,93914,342523,503,8,1,home,semi_urban,1
56,21881,50591,819,2,5,home,urban,0
43,59567,328894,581,14,5,personal,semi_urban,0
36,67365,357792,342,3,7,home,semi_urban,0
59,147928,363278,409,19,3,education,urban,1
62,99211,433670,509,22,4,car,urban,0
59,90122,103537,348,7,2,car,rural,1
34,45006,329816,414,32,4,home,urban,0
51,61198,294372,454,32,6,personal,semi_urban,1
25,42831,19429,802,6,2,education,urban,0
55,120649,89294,370,21,5,business,urban,1
43,36459,466024,818,4,1,education,urban,0
49,52443,481102,635,14,0,home,urban,1
63,62316,382721,366,20,4,home,semi_urban,1
31,116131,189087,792,24,4,business,semi_urban,1
38,84486,355218,512,16,3,personal,rural,0
32,25877,336080,480,6,7,home,semi_urban,0
29,59553,216979,547,18,7,personal,urban,0
30,134137,324522,513,6,7,car,semi_urban,1
64,24922,42310,658,23,3,car,semi_urban,1
37,142778,106827,548,10,5,home,semi_urban,0
58,137018,481899,815,0,2,personal,semi_urban,0
27,24686,204899,387,31,7,home,semi_urban,0
33,52766,433472,475,1,0,home,urban,0
60,99943,212500,725,14,6,car,semi_urban,0
62,52006,104862,380,20,3,home,urban,0
29,51422,306033,437,23,3,car,semi_urban,0
47,136590,318572,732,16,1,home,urban,1
22,148886,377646,769,8,1,car,rural,1
25,32205,435423,649,34,5,business,semi_urban,0
49,106590,55255,425,19,7,car,semi_urban,1
57,43527,372968,608,18,5,car,rural,0
58,131483,227603,529,17,3,car,rural,0
39,38443,272553,759,19,2,education,semi_urban,0
28,36524,47438,644,29,6,personal,urban,0
21,136477,246482,609,0,7,home,rural,0
42,48202,246310,319,23,0,personal,semi_urban,0
37,85552,266084,840,23,3,personal,semi_urban,0
27,66142,493575,776,18,2,personal,rural,1
45,81692,275013,568,29,2,home,urban,1
24,102384,499476,302,25,7,home,urban,0
56,40855,192934,315,28,3,education,semi_urban,0
26,103747,486153,657,12,7,personal,rural,1
51,80372,293102,432,3,2,education,semi_urban,0
39,45095,212374,611,16,4,home,semi_urban,0
64,58724,417984,781,32,7,home,semi_urban,1
59,69241,232402,843,4,2,education,semi_urban,1
47,123119,162217,604,27,3,personal,rural,1
30,72003,342766,568,23,2,home,urban,0
46,88379,31442,713,16,7,home,semi_urban,0
39,114837,86948,324,10,6,car,rural,0
59,111996,259657,615,11,3,education,semi_urban,0
23,117454,292740,575,12,1,personal,urban,1
33,114283,80791,688,7,3,personal,urban,0
48,35972,47406,743,0,2,education,rural,0
40,143805,45524,726,8,3,home,urban,1
48,113846,159404,356,27,0,education,urban,1
28,42927,115160,667,1,3,business,urban,0
61,140589,151836,641,13,3,business,semi_urban,0
59,135657,163635,603,12,7,personal,semi_urban,0
21,86630,485891,673,1,0,car,rural,0
23,124428,172442,411,3,0,personal,urban,1
33,142035,272206,305,11,0,personal,semi_urban,1
48,72347,49645,578,9,5,education,semi_urban,1
45,119708,389903,681,2,4,home,urban,0
53,146244,274388,312,3,5,business,urban,0
58,108860,404588,602,5,3,car,rural,1
26,106210,241481,459,22,5,home,semi_urban,0
64,89518,262320,453,4,7,home,semi_urban,1
52,65283,90501,480,2,5,education,urban,0
41,101326,122450,825,9,0,car,rural,1
36,32205,200543,479,18,0,home,semi_urban,0
41,140243,246605,676,13,1,personal,rural,0
31,109874,284100,467,20,5,personal,rural,1
