ticket_id,summary,description,priority,assigned_queue
INC10169,Slow internet speed on floor 3,Wifi SSID CorpNet is not visible in building B conference rooms. Other SSIDs are available.,Low,Network Team
INC11671,Request: Need database user created for new application,Data migration from Oracle to PostgreSQL failing at row 2.3 million due to character encoding mismatch in customer_notes column.,Low,Database Team
INC12571,Request: Application crashing on login page - affecting multiple users,Users getting NullPointerException on the login page after clicking submit. Stack trace points to AuthenticationService.validateUser method.,High,Application Team
INC12378,Issue: New feature deployment failed in staging,Jenkins pipeline for staging deployment failing at the integration test stage. Tests are timing out connecting to mock services.,Medium,Application Team
INC14396,Help needed - Two factor authentication not working,Users reporting that the Duo 2FA push notifications are not being received on mobile devices. Duo admin console shows pushes are being sent.,High,Security Team
INC14258,URGENT: Password reset not working for AD account - affecting multiple users,User unable to reset AD password through self-service portal. Getting error account is locked. Manual unlock by admin also not persisting.,High,Security Team
INC13863,Docker container failing health checks - please help,Docker container for the auth-service failing health check endpoint. Container starts but the health check URL returns 503.,Low,Infrastructure Team
INC10024,Help needed - Network latency to cloud services,Need port 5672 opened on firewall for RabbitMQ communication between app server and message broker.,High,Network Team
INC12634,Memory leak in payment microservice,Payment microservice heap usage growing steadily and reaching OOM after 6 hours. Thread dump shows connection objects not being released.,Critical,Application Team
INC13341,URGENT: Server clock drift causing auth failures - high priority,NTP synchronization failing on 5 servers. Clock drift of 30 seconds causing Kerberos authentication failures.,High,Infrastructure Team
INC12216,Mobile app showing blank screen on launch - high priority,Mobile app on iOS 17 shows white screen after splash screen. Android version works fine. Crash report shows WebView initialization error.,Medium,Application Team
INC13683,URGENT: Docker container failing health checks,Docker container for the auth-service failing health check endpoint. Container starts but the health check URL returns 503.,Low,Infrastructure Team
INC14725,Vulnerability scan report needs review - please help,Quarterly Qualys vulnerability scan completed. 23 critical and 89 high findings need to be reviewed and assigned to respective teams.,Low,Security Team
INC11908,Help needed - Stored procedure returning incorrect results - affecting multiple users,Application unable to connect to PostgreSQL 14 instance on port 5432. pg_isready shows the server is running. Suspect pg_hba.conf issue.,High,Database Team
INC10085,Issue: VPN timeout during file transfer - please help,Load balancer health checks are passing but traffic is only going to one backend server instead of round-robin.,High,Network Team
INC10228,Network connectivity issue in office - please help,Multiple users on floor 3 reporting slow speeds and intermittent drops. Started after the switch upgrade last weekend.,High,Network Team
INC10297,Issue: Cannot reach servers on subnet 10.0.2.x - please help,Network team needs to configure VLAN tagging for the new development environment setup.,Low,Network Team
INC11002,URGENT: Slow SQL query on reports module,The monthly sales report query is taking over 45 minutes to complete. It was running in 2 minutes last month. No schema changes were made.,Medium,Database Team
INC12139,Memory leak in payment microservice - affecting multiple users,Payment microservice heap usage growing steadily and reaching OOM after 6 hours. Thread dump shows connection objects not being released.,High,Application Team
INC10712,Issue: Firewall blocking application access - please help,High latency observed when connecting to AWS us-east-1 region. Traceroute shows packet loss at the ISP hop.,Low,Network Team
INC12802,File upload not working for large files - high priority,Users cannot upload files larger than 10 MB. Getting request entity too large error. Need to increase the upload limit to 50 MB.,Medium,Application Team
INC12528,Help needed - New feature deployment failed in staging,Jenkins pipeline for staging deployment failing at the integration test stage. Tests are timing out connecting to mock services.,Medium,Application Team
INC13753,Issue: Need new VM provisioned for QA environment,"Need 3 new VMs provisioned for the QA environment. Specs: 8 vCPU, 32 GB RAM, 500 GB SSD each. CentOS 8 with standard hardening.",Low,Infrastructure Team
INC13322,Help needed - Scheduled server patching this weekend - high priority,"Monthly security patching scheduled for Saturday 2 AM. Total 45 servers across dev, staging, and production environments.",Medium,Infrastructure Team
INC13182,Help needed - Server not responding to ping,Server DB-PROD-02 is not responding to ICMP or SSH. Console access shows kernel panic. Last known change was a kernel security patch.,High,Infrastructure Team
INC14184,URGENT: Service account locked out repeatedly - please help,Service account SVC_APP_BATCH gets locked out every night at 2 AM. Suspect a scheduled task with old credentials somewhere.,Critical,Security Team
INC11616,Request: Database connection timeout on production,Production application getting JDBC connection timeout after 30 seconds. Connection pool exhausted. Database server shows high number of active sessions.,Low,Database Team
INC13025,Help needed - Auto-scaling not triggering during peak load - affecting multiple users,Auto-scaling group not launching new instances during peak hours despite CPU exceeding 80 percent threshold for 10 minutes.,Critical,Infrastructure Team
INC11414,Help needed - Cannot connect to PostgreSQL instance - high priority,MongoDB aggregate queries on the events collection are timing out. Collection has 50 million documents without proper indexes.,Medium,Database Team
INC10764,Help needed - Load balancer not distributing traffic,Cannot access partner VPN site-to-site tunnel. Was working until the firewall firmware update yesterday.,Medium,Network Team
INC10656,Issue: Intermittent network drops on LAN,Proxy authentication popup keeps appearing when accessing external websites. Credentials are correct.,Low,Network Team
INC14798,Request: Password reset not working for AD account - high priority,User unable to reset AD password through self-service portal. Getting error account is locked. Manual unlock by admin also not persisting.,Medium,Security Team
INC13850,URGENT: Auto-scaling not triggering during peak load,Auto-scaling group not launching new instances during peak hours despite CPU exceeding 80 percent threshold for 10 minutes.,High,Infrastructure Team
INC14154,Service account locked out repeatedly - affecting multiple users,Service account SVC_APP_BATCH gets locked out every night at 2 AM. Suspect a scheduled task with old credentials somewhere.,Critical,Security Team
INC10469,Slow internet speed on floor 3 - affecting multiple users,Wifi SSID CorpNet is not visible in building B conference rooms. Other SSIDs are available.,Medium,Network Team
INC10158,DNS resolution failure - affecting multiple users,LAN connectivity drops for 2-3 minutes every hour. Affects all users connected to switch SW-FL3-01.,High,Network Team
INC11296,URGENT: Need database user created for new application - please help,Data migration from Oracle to PostgreSQL failing at row 2.3 million due to character encoding mismatch in customer_notes column.,Medium,Database Team
INC10498,Request: Network connectivity issue in office - affecting multiple users,Multiple users on floor 3 reporting slow speeds and intermittent drops. Started after the switch upgrade last weekend.,High,Network Team
INC14741,URGENT: Two factor authentication not working - please help,Users reporting that the Duo 2FA push notifications are not being received on mobile devices. Duo admin console shows pushes are being sent.,Medium,Security Team
INC12941,Issue: PDF report generation throwing exception,PDF report generation throwing OutOfMemoryError for reports with more than 1000 rows. Need to implement streaming PDF generation.,Medium,Application Team
INC13457,Help needed - Scheduled server patching this weekend,"Monthly security patching scheduled for Saturday 2 AM. Total 45 servers across dev, staging, and production environments.",Medium,Infrastructure Team
INC10374,Load balancer not distributing traffic - affecting multiple users,Cannot access partner VPN site-to-site tunnel. Was working until the firewall firmware update yesterday.,Medium,Network Team
INC10080,Help needed - WiFi not working in conference room - high priority,Firewall rule is blocking outbound traffic on port 8443 which is needed for the new monitoring tool deployment.,Critical,Network Team
INC11554,Issue: Database CPU usage at 98 percent,Audit log table has grown to 500 GB. Need to archive records older than 90 days and implement partition pruning.,Medium,Database Team
INC11670,Help needed - MongoDB collection queries extremely slow,Need a read-only database user created for the new reporting dashboard. Should have SELECT access to sales and inventory schemas.,Critical,Database Team
INC12132,Issue: Search functionality returning wrong results,Search functionality returning results from archived records that should be excluded. Elasticsearch index needs filter update.,High,Application Team
INC14440,URGENT: Vulnerability scan report needs review - affecting multiple users,Quarterly Qualys vulnerability scan completed. 23 critical and 89 high findings need to be reviewed and assigned to respective teams.,Critical,Security Team
INC10466,Issue: VPN connection dropping frequently,Getting disconnected from VPN every 10 minutes. Using Cisco AnyConnect client version 4.9. Error message: connection attempt has failed.,High,Network Team
INC10249,URGENT: Network latency to cloud services,Need port 5672 opened on firewall for RabbitMQ communication between app server and message broker.,High,Network Team
INC10932,Help needed - Unable to connect to VPN - affecting multiple users,Cannot establish VPN tunnel from home network. Getting error TLS handshake failure. Tried restarting the client multiple times.,Critical,Network Team
INC11336,Need new database schema for project X,Replication lag between primary and secondary MySQL instances has grown to 4 hours. Binary log position shows significant gap.,Medium,Database Team
INC14525,Malware detected on workstation - high priority,Antivirus detected trojan on workstation WS-FIN-042. Machine has been isolated from network. Need forensic analysis and remediation.,Medium,Security Team
INC11339,Cannot connect to PostgreSQL instance,MongoDB aggregate queries on the events collection are timing out. Collection has 50 million documents without proper indexes.,High,Database Team
INC11407,Request: Slow SQL query on reports module - affecting multiple users,The monthly sales report query is taking over 45 minutes to complete. It was running in 2 minutes last month. No schema changes were made.,Medium,Database Team
INC11091,Database connection timeout on production,Production application getting JDBC connection timeout after 30 seconds. Connection pool exhausted. Database server shows high number of active sessions.,Medium,Database Team
INC14210,Malware detected on workstation - please help,Antivirus detected trojan on workstation WS-FIN-042. Machine has been isolated from network. Need forensic analysis and remediation.,Medium,Security Team
INC10743,DNS resolution failure - high priority,LAN connectivity drops for 2-3 minutes every hour. Affects all users connected to switch SW-FL3-01.,Critical,Network Team
INC12324,Batch job stuck in running state - high priority,Nightly batch job for invoice generation has been in running state for 12 hours. Normally completes in 2 hours. No errors in logs.,Critical,Application Team
INC13602,Server not responding to ping,Server DB-PROD-02 is not responding to ICMP or SSH. Console access shows kernel panic. Last known change was a kernel security patch.,Medium,Infrastructure Team
INC12124,Memory leak in payment microservice,Payment microservice heap usage growing steadily and reaching OOM after 6 hours. Thread dump shows connection objects not being released.,Medium,Application Team
INC12095,API response time degraded after release - affecting multiple users,Average API response time increased from 200ms to 2.5 seconds after the Friday release. Rollback is being considered.,Medium,Application Team
INC10241,VPN connection dropping frequently - affecting multiple users,Getting disconnected from VPN every 10 minutes. Using Cisco AnyConnect client version 4.9. Error message: connection attempt has failed.,Medium,Network Team
INC12352,Issue: File upload not working for large files,Users cannot upload files larger than 10 MB. Getting request entity too large error. Need to increase the upload limit to 50 MB.,High,Application Team
INC11371,Issue: Need database user created for new application - high priority,Data migration from Oracle to PostgreSQL failing at row 2.3 million due to character encoding mismatch in customer_notes column.,High,Database Team
INC11058,URGENT: Index rebuild needed on customer table - affecting multiple users,Database server CPU is pegged at 98 percent. Top query analysis shows a full table scan on the transactions table running every 5 seconds.,Low,Database Team
INC14817,URGENT: Need firewall rule for new vendor access - please help,New vendor TechPartner Inc needs site-to-site VPN access to our staging environment. Access request form and security review completed.,Medium,Security Team
INC10200,WiFi not working in conference room,Firewall rule is blocking outbound traffic on port 8443 which is needed for the new monitoring tool deployment.,Low,Network Team
INC12281,URGENT: PDF report generation throwing exception - high priority,PDF report generation throwing OutOfMemoryError for reports with more than 1000 rows. Need to implement streaming PDF generation.,High,Application Team
INC14750,URGENT: Malware detected on workstation,Antivirus detected trojan on workstation WS-FIN-042. Machine has been isolated from network. Need forensic analysis and remediation.,High,Security Team
INC12221,Help needed - PDF report generation throwing exception,PDF report generation throwing OutOfMemoryError for reports with more than 1000 rows. Need to implement streaming PDF generation.,Medium,Application Team
INC14772,Issue: Need firewall rule for new vendor access - affecting multiple users,New vendor TechPartner Inc needs site-to-site VPN access to our staging environment. Access request form and security review completed.,Medium,Security Team
INC12820,Help needed - Application not sending email notifications - affecting multiple users,Email notifications for order confirmations stopped going out since Monday. SMTP connection logs show authentication failure.,High,Application Team
INC13151,Issue: Production server disk space critical - high priority,Production web server APP-WEB-01 has only 2 GB free on root partition. Application logs and temp files consuming most space.,Low,Infrastructure Team
INC14257,Issue: Need access to production database,Developer needs read access to production CUSTOMER_DB for debugging a data issue. Manager approval attached. Need temporary 24-hour access.,High,Security Team
INC13108,Issue: Need new VM provisioned for QA environment - high priority,"Need 3 new VMs provisioned for the QA environment. Specs: 8 vCPU, 32 GB RAM, 500 GB SSD each. CentOS 8 with standard hardening.",Critical,Infrastructure Team
INC11974,URGENT: Database CPU usage at 98 percent,Audit log table has grown to 500 GB. Need to archive records older than 90 days and implement partition pruning.,Medium,Database Team
INC11376,Issue: Database connection timeout on production,Production application getting JDBC connection timeout after 30 seconds. Connection pool exhausted. Database server shows high number of active sessions.,Low,Database Team
INC13969,Issue: Cloud storage bucket access denied - please help,S3 bucket access denied when application tries to upload reports. IAM role policy looks correct. Suspect bucket policy override.,Critical,Infrastructure Team
INC14063,Password reset not working for AD account,User unable to reset AD password through self-service portal. Getting error account is locked. Manual unlock by admin also not persisting.,Medium,Security Team
INC14446,Help needed - Security certificate renewal for API gateway - affecting multiple users,API gateway TLS certificate shows SHA-1 signature which is deprecated. Need to reissue with SHA-256 and deploy before audit next month.,Medium,Security Team
INC13558,Need new VM provisioned for QA environment - please help,"Need 3 new VMs provisioned for the QA environment. Specs: 8 vCPU, 32 GB RAM, 500 GB SSD each. CentOS 8 with standard hardening.",Low,Infrastructure Team
INC10965,Help needed - WiFi not working in conference room - high priority,Firewall rule is blocking outbound traffic on port 8443 which is needed for the new monitoring tool deployment.,Medium,Network Team
INC10180,Help needed - Proxy server authentication failing,Network monitoring tool showing high bandwidth usage from unknown source IP on the production subnet.,High,Network Team
INC13699,Cloud storage bucket access denied - please help,S3 bucket access denied when application tries to upload reports. IAM role policy looks correct. Suspect bucket policy override.,Critical,Infrastructure Team
INC13822,URGENT: Backup storage SAN showing disk errors,SAN storage array showing predictive disk failure alerts on 3 drives in RAID group for backup volume.,High,Infrastructure Team
INC14879,Access revocation for terminated employee - please help,"Employee John Smith in Finance department terminated today. Need immediate revocation of all system access including VPN, email, AD, and application accounts.",Low,Security Team
INC13900,Help needed - Linux server kernel panic after update - affecting multiple users,Linux server crashed with kernel panic after applying the latest kernel update. Need to boot from previous kernel version.,Critical,Infrastructure Team
INC14488,Phishing email reported by employee,Employee forwarded a suspicious email with a link to fake Office 365 login page. Need to check if any credentials were compromised.,Medium,Security Team
INC13239,Help needed - Monitoring alerts not being received,Nagios alerts not being delivered to the ops team email. SMTP relay configuration needs verification.,Critical,Infrastructure Team
INC12975,URGENT: Application logs filling up disk space,Application logs are not being rotated. Log directory has grown to 200 GB. Need to configure logback rolling policy.,Medium,Application Team
INC13581,Help needed - Server clock drift causing auth failures,NTP synchronization failing on 5 servers. Clock drift of 30 seconds causing Kerberos authentication failures.,Medium,Infrastructure Team
INC12888,New feature deployment failed in staging,Jenkins pipeline for staging deployment failing at the integration test stage. Tests are timing out connecting to mock services.,High,Application Team
INC12576,Request: Mobile app showing blank screen on launch,Mobile app on iOS 17 shows white screen after splash screen. Android version works fine. Crash report shows WebView initialization error.,High,Application Team
INC11420,Issue: Audit log table growing too large,Need to create new schema with 15 tables for project Phoenix. ER diagram and DDL scripts are ready for review.,High,Database Team
INC13908,Request: Docker container failing health checks - high priority,Docker container for the auth-service failing health check endpoint. Container starts but the health check URL returns 503.,Low,Infrastructure Team
INC14674,Request: Compliance audit finding needs remediation,SOC2 audit finding: privileged access reviews not completed for Q3. Need to run access certification for all admin accounts.,Critical,Security Team
INC14903,URGENT: Password reset not working for AD account,User unable to reset AD password through self-service portal. Getting error account is locked. Manual unlock by admin also not persisting.,Medium,Security Team
INC11861,Issue: Need new database schema for project X - please help,Replication lag between primary and secondary MySQL instances has grown to 4 hours. Binary log position shows significant gap.,Low,Database Team
INC10009,Issue: Network latency to cloud services,Need port 5672 opened on firewall for RabbitMQ communication between app server and message broker.,Medium,Network Team
INC12895,Request: Application not sending email notifications,Email notifications for order confirmations stopped going out since Monday. SMTP connection logs show authentication failure.,High,Application Team
INC12848,Session timeout too short for users,Users are being logged out after 5 minutes of inactivity. Business requirement is 30 minutes. Session configuration needs update.,High,Application Team
INC13665,Help needed - Kubernetes pod in CrashLoopBackOff,Kubernetes pod for the inventory-service is in CrashLoopBackOff. Container logs show missing config map reference.,Low,Infrastructure Team
INC10145,VPN timeout during file transfer - high priority,Load balancer health checks are passing but traffic is only going to one backend server instead of round-robin.,Low,Network Team
INC12105,Request: Application logs filling up disk space - please help,Application logs are not being rotated. Log directory has grown to 200 GB. Need to configure logback rolling policy.,High,Application Team
INC13144,Cloud storage bucket access denied,S3 bucket access denied when application tries to upload reports. IAM role policy looks correct. Suspect bucket policy override.,High,Infrastructure Team
INC10842,Help needed - Unable to connect to VPN - high priority,Cannot establish VPN tunnel from home network. Getting error TLS handshake failure. Tried restarting the client multiple times.,High,Network Team
INC11129,URGENT: Cannot connect to PostgreSQL instance - please help,MongoDB aggregate queries on the events collection are timing out. Collection has 50 million documents without proper indexes.,High,Database Team
INC10152,Help needed - Unable to connect to VPN - high priority,Cannot establish VPN tunnel from home network. Getting error TLS handshake failure. Tried restarting the client multiple times.,High,Network Team
INC13592,Scheduled server patching this weekend - please help,"Monthly security patching scheduled for Saturday 2 AM. Total 45 servers across dev, staging, and production environments.",Critical,Infrastructure Team
INC11053,Issue: Stored procedure returning incorrect results - high priority,Application unable to connect to PostgreSQL 14 instance on port 5432. pg_isready shows the server is running. Suspect pg_hba.conf issue.,Medium,Database Team
INC11591,Need new database schema for project X - high priority,Replication lag between primary and secondary MySQL instances has grown to 4 hours. Binary log position shows significant gap.,Low,Database Team
INC13009,Issue: Cloud storage bucket access denied,S3 bucket access denied when application tries to upload reports. IAM role policy looks correct. Suspect bucket policy override.,High,Infrastructure Team
INC12030,Request: Application logs filling up disk space,Application logs are not being rotated. Log directory has grown to 200 GB. Need to configure logback rolling policy.,High,Application Team
INC13419,Help needed - Monitoring alerts not being received,Nagios alerts not being delivered to the ops team email. SMTP relay configuration needs verification.,High,Infrastructure Team
INC11808,Help needed - Index rebuild needed on customer table,Database server CPU is pegged at 98 percent. Top query analysis shows a full table scan on the transactions table running every 5 seconds.,Low,Database Team
INC12697,File upload not working for large files - affecting multiple users,Users cannot upload files larger than 10 MB. Getting request entity too large error. Need to increase the upload limit to 50 MB.,High,Application Team
INC13040,Auto-scaling not triggering during peak load - high priority,Auto-scaling group not launching new instances during peak hours despite CPU exceeding 80 percent threshold for 10 minutes.,Low,Infrastructure Team
INC10473,DNS resolution failure,LAN connectivity drops for 2-3 minutes every hour. Affects all users connected to switch SW-FL3-01.,Low,Network Team
INC13290,Kubernetes pod in CrashLoopBackOff,Kubernetes pod for the inventory-service is in CrashLoopBackOff. Container logs show missing config map reference.,Medium,Infrastructure Team
INC14075,Request: Malware detected on workstation - high priority,Antivirus detected trojan on workstation WS-FIN-042. Machine has been isolated from network. Need forensic analysis and remediation.,High,Security Team
INC13497,URGENT: Server not responding to ping - please help,Server DB-PROD-02 is not responding to ICMP or SSH. Console access shows kernel panic. Last known change was a kernel security patch.,Medium,Infrastructure Team
INC10280,Issue: VPN timeout during file transfer,Load balancer health checks are passing but traffic is only going to one backend server instead of round-robin.,High,Network Team
INC11742,Database replication lag is increasing,Stored procedure sp_calculate_commission is returning negative values for some sales reps. Logic seems incorrect after the last update.,Critical,Database Team
INC14625,Help needed - Data encryption requirement for new project - affecting multiple users,New healthcare project requires AES-256 encryption for data at rest and TLS 1.3 for data in transit. Need security architecture review.,High,Security Team
INC12887,Request: Error 500 on checkout page - affecting multiple users,Checkout page returning HTTP 500 when users apply discount codes. Started after the v2.3.1 hotfix deployment yesterday.,Critical,Application Team
INC11942,Data migration script failing midway,After the table partition operation the clustered index on orders table is fragmented at 89 percent. Needs online rebuild.,Medium,Database Team
INC10101,Intermittent network drops on LAN,Proxy authentication popup keeps appearing when accessing external websites. Credentials are correct.,Medium,Network Team
INC12805,Request: Application not sending email notifications - affecting multiple users,Email notifications for order confirmations stopped going out since Monday. SMTP connection logs show authentication failure.,Low,Application Team
INC13571,Issue: Production server disk space critical - please help,Production web server APP-WEB-01 has only 2 GB free on root partition. Application logs and temp files consuming most space.,High,Infrastructure Team
INC13685,Auto-scaling not triggering during peak load,Auto-scaling group not launching new instances during peak hours despite CPU exceeding 80 percent threshold for 10 minutes.,Low,Infrastructure Team
INC13662,URGENT: Server not responding to ping,Server DB-PROD-02 is not responding to ICMP or SSH. Console access shows kernel panic. Last known change was a kernel security patch.,Medium,Infrastructure Team
