id,review,sentiment,topic
40,"For the most part, Helpful perks like flexible hours and leave.",Positive,Perks
41,"From my team’s perspective, Work culture feels stressful and inconsistent.",Negative,Culture
42,"At times, Some tools are modern while others are legacy.",Neutral,Technology
43,"Overall, Modern technology stack and useful tools.",Positive,Technology
44,"Overall, Team morale is low in some departments.",Negative,Culture
45,"From my team’s perspective, Management is approachable and supportive.",Positive,Management
46,"In my experience, Strong learning opportunities and skill growth.",Positive,Growth
47,"In my experience, Excellent collaboration across teams.",Positive,Culture
48,"For the most part, Some tools are modern while others are legacy.",Neutral,Technology
49,"For the most part, Excellent collaboration across teams.",Positive,Culture
50,"In some cases, Clear opportunities to learn and advance.",Positive,Growth
51,"At times, Some tools are modern while others are legacy.",Neutral,Technology
52,"Compared with peers, Compensation is acceptable for the role.",Neutral,Salary
53,"Generally speaking, Legacy systems make daily work harder.",Negative,Technology
54,"In my experience, Strong learning opportunities and skill growth.",Positive,Growth
55,"At times, Clear opportunities to learn and advance.",Positive,Growth
56,"In my experience, Salary is below market expectations.",Negative,Salary
57,"At times, Salary is average for the industry.",Neutral,Salary
58,"Compared with peers, Salary is competitive and fair.",Positive,Salary
59,"From my team’s perspective, Strong learning opportunities and skill growth.",Positive,Growth
60,"For the most part, Career growth is limited and unclear.",Negative,Growth
61,"Generally speaking, Learning is available, but mostly self-driven.",Neutral,Growth
62,"In some cases, Excellent collaboration across teams.",Positive,Culture
63,"In some cases, Great work culture with supportive teammates.",Positive,Culture
64,"Generally speaking, Good performance bonuses and benefits.",Positive,Salary
65,"In my experience, Salary is average for the industry.",Neutral,Salary
66,"In my experience, Management is approachable and supportive.",Positive,Management
67,"Generally speaking, Strong learning opportunities and skill growth.",Positive,Growth
68,"From my team’s perspective, Modern technology stack and useful tools.",Positive,Technology
69,"Generally speaking, Work culture feels stressful and inconsistent.",Negative,Culture
70,"In my experience, Some tools are modern while others are legacy.",Neutral,Technology
71,"Overall, Projects use modern cloud and automation tools.",Positive,Technology
72,"For the most part, Growth opportunities depend on the project.",Neutral,Growth
73,"At times, Team morale is low in some departments.",Negative,Culture
74,"For the most part, Salary is average for the industry.",Neutral,Salary
75,"From my team’s perspective, Good performance bonuses and benefits.",Positive,Salary
76,"From my team’s perspective, Work-life balance is fine most weeks.",Neutral,Culture
77,"Generally speaking, Legacy systems make daily work harder.",Negative,Technology
78,"At times, Helpful perks like flexible hours and leave.",Positive,Perks
79,"Overall, Learning is available, but mostly self-driven.",Neutral,Growth
80,"Overall, Salary is average for the industry.",Neutral,Salary
81,"For the most part, Legacy systems make daily work harder.",Negative,Technology
82,"In my experience, Projects use modern cloud and automation tools.",Positive,Technology
83,"In my experience, Work culture varies by team.",Neutral,Culture
84,"In some cases, Career growth is limited and unclear.",Negative,Growth
85,"At times, Clear opportunities to learn and advance.",Positive,Growth
86,"In my experience, Salary is below market expectations.",Negative,Salary
87,"Compared with peers, Promotion paths are not well defined.",Negative,Growth
88,"Compared with peers, Growth opportunities depend on the project.",Neutral,Growth
89,"For the most part, Good performance bonuses and benefits.",Positive,Salary
90,"Generally speaking, Perks are minimal compared to other companies.",Negative,Perks
91,"Overall, Great work culture with supportive teammates.",Positive,Culture
92,"In my experience, Promotion paths are not well defined.",Negative,Growth
93,"From my team’s perspective, Strong learning opportunities and skill growth.",Positive,Growth
94,"In my experience, Management is approachable and supportive.",Positive,Management
95,"From my team’s perspective, Management style differs across departments.",Neutral,Management
96,"From my team’s perspective, Projects use modern cloud and automation tools.",Positive,Technology
97,"Overall, Legacy systems make daily work harder.",Negative,Technology
98,"From my team’s perspective, Legacy systems make daily work harder.",Negative,Technology
99,"For the most part, Work culture varies by team.",Neutral,Culture
100,"For the most part, Great work culture with supportive teammates.",Positive,Culture
101,"At times, Clear opportunities to learn and advance.",Positive,Growth
102,"From my team’s perspective, Growth opportunities depend on the project.",Neutral,Growth
103,"Overall, Perks are minimal compared to other companies.",Negative,Perks
104,"From my team’s perspective, Good performance bonuses and benefits.",Positive,Salary
105,"For the most part, Management is approachable and supportive.",Positive,Management
106,"For the most part, Perks are minimal compared to other companies.",Negative,Perks
107,"In some cases, Some tools are modern while others are legacy.",Neutral,Technology
108,"In my experience, Work culture feels stressful and inconsistent.",Negative,Culture
109,"Overall, The technology stack is a mix of old and new tools.",Neutral,Technology
110,"For the most part, Learning is available, but mostly self-driven.",Neutral,Growth
111,"From my team’s perspective, Salary is below market expectations.",Negative,Salary
112,"Compared with peers, Salary is competitive and fair.",Positive,Salary
113,"In my experience, Strong learning opportunities and skill growth.",Positive,Growth
114,"In some cases, Projects use modern cloud and automation tools.",Positive,Technology
115,"At times, The technology stack is a mix of old and new tools.",Neutral,Technology
116,"In some cases, The technology stack is a mix of old and new tools.",Neutral,Technology
117,"In some cases, Management is approachable and supportive.",Positive,Management
118,"From my team’s perspective, Growth opportunities depend on the project.",Neutral,Growth
119,"In some cases, Great work culture with supportive teammates.",Positive,Culture
120,"At times, Work-life balance is fine most weeks.",Neutral,Culture
121,"Compared with peers, Excellent collaboration across teams.",Positive,Culture
122,"At times, Strong learning opportunities and skill growth.",Positive,Growth
123,"In some cases, Strong learning opportunities and skill growth.",Positive,Growth
124,"From my team’s perspective, Great work culture with supportive teammates.",Positive,Culture
125,"In some cases, Projects use modern cloud and automation tools.",Positive,Technology
126,"Compared with peers, Legacy systems make daily work harder.",Negative,Technology
127,"From my team’s perspective, Work culture varies by team.",Neutral,Culture
128,"Overall, Helpful perks like flexible hours and leave.",Positive,Perks
129,"Compared with peers, Good performance bonuses and benefits.",Positive,Salary
130,"In some cases, Management style differs across departments.",Neutral,Management
131,"In my experience, Legacy systems make daily work harder.",Negative,Technology
132,"At times, Clear opportunities to learn and advance.",Positive,Growth
133,"Overall, Good performance bonuses and benefits.",Positive,Salary
134,"At times, Legacy systems make daily work harder.",Negative,Technology
135,"Compared with peers, Great work culture with supportive teammates.",Positive,Culture
136,"From my team’s perspective, Work culture feels stressful and inconsistent.",Negative,Culture
137,"Compared with peers, Raises are small and infrequent.",Negative,Salary
138,"For the most part, Perks are minimal compared to other companies.",Negative,Perks
139,"For the most part, Good performance bonuses and benefits.",Positive,Salary
140,"In some cases, Perks are minimal compared to other companies.",Negative,Perks
141,"From my team’s perspective, Salary is below market expectations.",Negative,Salary
142,"Compared with peers, Good performance bonuses and benefits.",Positive,Salary
143,"At times, Team morale is low in some departments.",Negative,Culture
144,"In my experience, The technology stack is outdated and slow.",Negative,Technology
145,"Compared with peers, Clear opportunities to learn and advance.",Positive,Growth
146,"From my team’s perspective, Strong learning opportunities and skill growth.",Positive,Growth
147,"For the most part, Strong learning opportunities and skill growth.",Positive,Growth
148,"Generally speaking, Strong learning opportunities and skill growth.",Positive,Growth
149,"Generally speaking, Work culture feels stressful and inconsistent.",Negative,Culture
150,"At times, Promotion paths are not well defined.",Negative,Growth
151,"Generally speaking, Compensation is acceptable for the role.",Neutral,Salary
152,"Overall, Modern technology stack and useful tools.",Positive,Technology
153,"In some cases, Work culture varies by team.",Neutral,Culture
154,"Generally speaking, Projects use modern cloud and automation tools.",Positive,Technology
155,"In my experience, Strong learning opportunities and skill growth.",Positive,Growth
156,"Compared with peers, Team morale is low in some departments.",Negative,Culture
157,"In some cases, Work-life balance is fine most weeks.",Neutral,Culture
158,"Generally speaking, Some tools are modern while others are legacy.",Neutral,Technology
159,"Generally speaking, Work-life balance is fine most weeks.",Neutral,Culture
160,"From my team’s perspective, Strong learning opportunities and skill growth.",Positive,Growth
161,"Generally speaking, Some tools are modern while others are legacy.",Neutral,Technology
162,"Generally speaking, Perks are minimal compared to other companies.",Negative,Perks
163,"At times, Helpful perks like flexible hours and leave.",Positive,Perks
164,"In my experience, Management is approachable and supportive.",Positive,Management
165,"In some cases, Strong learning opportunities and skill growth.",Positive,Growth
166,"In my experience, Career growth is limited and unclear.",Negative,Growth
167,"Generally speaking, Management communication is weak.",Negative,Management
168,"In some cases, Career growth is limited and unclear.",Negative,Growth
169,"Overall, Clear opportunities to learn and advance.",Positive,Growth
170,"In some cases, Learning is available, but mostly self-driven.",Neutral,Growth
171,"From my team’s perspective, Management communication is weak.",Negative,Management
172,"At times, Compensation is acceptable for the role.",Neutral,Salary
173,"In some cases, Perks are minimal compared to other companies.",Negative,Perks
174,"Compared with peers, Raises are small and infrequent.",Negative,Salary
175,"For the most part, Raises are small and infrequent.",Negative,Salary
176,"Overall, The technology stack is a mix of old and new tools.",Neutral,Technology
177,"Overall, Learning is available, but mostly self-driven.",Neutral,Growth
178,"For the most part, Good performance bonuses and benefits.",Positive,Salary
179,"Overall, The technology stack is a mix of old and new tools.",Neutral,Technology
180,"At times, Management is approachable and supportive.",Positive,Management
181,"In some cases, Management communication is weak.",Negative,Management
182,"From my team’s perspective, Good performance bonuses and benefits.",Positive,Salary
183,"Overall, Work-life balance is fine most weeks.",Neutral,Culture
184,"Compared with peers, Salary is average for the industry.",Neutral,Salary
185,"Overall, Great work culture with supportive teammates.",Positive,Culture
186,"At times, Growth opportunities depend on the project.",Neutral,Growth
187,"For the most part, Learning is available, but mostly self-driven.",Neutral,Growth
188,"In my experience, Excellent collaboration across teams.",Positive,Culture
189,"Generally speaking, Career growth is limited and unclear.",Negative,Growth
190,"For the most part, Management communication is weak.",Negative,Management
191,"For the most part, Work culture feels stressful and inconsistent.",Negative,Culture
192,"Overall, Work culture varies by team.",Neutral,Culture
193,"In some cases, Learning is available, but mostly self-driven.",Neutral,Growth
194,"In my experience, Strong learning opportunities and skill growth.",Positive,Growth
195,"In my experience, Career growth is limited and unclear.",Negative,Growth
196,"In my experience, Perks are minimal compared to other companies.",Negative,Perks
197,"Overall, Learning is available, but mostly self-driven.",Neutral,Growth
198,"Compared with peers, Good performance bonuses and benefits.",Positive,Salary
199,"Overall, Management is approachable and supportive.",Positive,Management
200,"In my experience, Work-life balance is fine most weeks.",Neutral,Culture
201,"Generally speaking, Management communication is weak.",Negative,Management
202,"For the most part, Compensation is acceptable for the role.",Neutral,Salary
203,"Generally speaking, Perks are standard and adequate.",Neutral,Perks
204,"From my team’s perspective, Promotion paths are not well defined.",Negative,Growth
205,"In my experience, Strong learning opportunities and skill growth.",Positive,Growth
206,"At times, Excellent collaboration across teams.",Positive,Culture
207,"In some cases, Learning is available, but mostly self-driven.",Neutral,Growth
208,"Compared with peers, Excellent collaboration across teams.",Positive,Culture
209,"Compared with peers, Strong learning opportunities and skill growth.",Positive,Growth
210,"From my team’s perspective, Management style differs across departments.",Neutral,Management
211,"Overall, Perks are standard and adequate.",Neutral,Perks
212,"In my experience, Career growth is limited and unclear.",Negative,Growth
213,"Generally speaking, Good performance bonuses and benefits.",Positive,Salary
214,"Generally speaking, Career growth is limited and unclear.",Negative,Growth
215,"Generally speaking, Team morale is low in some departments.",Negative,Culture
216,"From my team’s perspective, Work culture varies by team.",Neutral,Culture
217,"From my team’s perspective, Strong learning opportunities and skill growth.",Positive,Growth
218,"Generally speaking, Management communication is weak.",Negative,Management
219,"In some cases, Management communication is weak.",Negative,Management
220,"Compared with peers, Some tools are modern while others are legacy.",Neutral,Technology
221,"From my team’s perspective, Excellent collaboration across teams.",Positive,Culture
222,"In my experience, Strong learning opportunities and skill growth.",Positive,Growth
223,"In my experience, Management style differs across departments.",Neutral,Management
224,"At times, The technology stack is a mix of old and new tools.",Neutral,Technology
225,"From my team’s perspective, Excellent collaboration across teams.",Positive,Culture
226,"From my team’s perspective, Some tools are modern while others are legacy.",Neutral,Technology
227,"From my team’s perspective, Growth opportunities depend on the project.",Neutral,Growth
228,"From my team’s perspective, Modern technology stack and useful tools.",Positive,Technology
229,"For the most part, Projects use modern cloud and automation tools.",Positive,Technology
230,"From my team’s perspective, Salary is competitive and fair.",Positive,Salary
231,"Generally speaking, The technology stack is outdated and slow.",Negative,Technology
232,"From my team’s perspective, Salary is competitive and fair.",Positive,Salary
233,"Compared with peers, Team morale is low in some departments.",Negative,Culture
234,"From my team’s perspective, Salary is competitive and fair.",Positive,Salary
235,"In my experience, Work-life balance is fine most weeks.",Neutral,Culture
236,"Generally speaking, Compensation is acceptable for the role.",Neutral,Salary
237,"For the most part, Salary is competitive and fair.",Positive,Salary
238,"From my team’s perspective, Clear opportunities to learn and advance.",Positive,Growth
239,"In my experience, Strong learning opportunities and skill growth.",Positive,Growth
240,"At times, Raises are small and infrequent.",Negative,Salary
241,"Generally speaking, Compensation is acceptable for the role.",Neutral,Salary
242,"In some cases, Perks are standard and adequate.",Neutral,Perks
243,"Overall, Clear opportunities to learn and advance.",Positive,Growth
244,"At times, Work culture feels stressful and inconsistent.",Negative,Culture
245,"In my experience, Perks are minimal compared to other companies.",Negative,Perks
246,"In my experience, Modern technology stack and useful tools.",Positive,Technology
247,"Generally speaking, Good performance bonuses and benefits.",Positive,Salary
248,"From my team’s perspective, Team morale is low in some departments.",Negative,Culture
249,"From my team’s perspective, Helpful perks like flexible hours and leave.",Positive,Perks
250,"In my experience, Work-life balance is fine most weeks.",Neutral,Culture
251,"At times, Perks are minimal compared to other companies.",Negative,Perks
252,"At times, Legacy systems make daily work harder.",Negative,Technology
253,"For the most part, Perks are minimal compared to other companies.",Negative,Perks
254,"From my team’s perspective, Modern technology stack and useful tools.",Positive,Technology
255,"From my team’s perspective, Promotion paths are not well defined.",Negative,Growth
256,"From my team’s perspective, Team morale is low in some departments.",Negative,Culture
257,"Generally speaking, Perks are minimal compared to other companies.",Negative,Perks
258,"Overall, Promotion paths are not well defined.",Negative,Growth
259,"From my team’s perspective, Management style differs across departments.",Neutral,Management
260,"Overall, Strong learning opportunities and skill growth.",Positive,Growth
261,"Overall, Perks are standard and adequate.",Neutral,Perks
262,"Generally speaking, The technology stack is a mix of old and new tools.",Neutral,Technology
263,"From my team’s perspective, Team morale is low in some departments.",Negative,Culture
264,"In some cases, Clear opportunities to learn and advance.",Positive,Growth
265,"In my experience, Team morale is low in some departments.",Negative,Culture
266,"Compared with peers, Raises are small and infrequent.",Negative,Salary
267,"For the most part, Great work culture with supportive teammates.",Positive,Culture
268,"From my team’s perspective, Excellent collaboration across teams.",Positive,Culture
269,"Overall, Raises are small and infrequent.",Negative,Salary
270,"From my team’s perspective, Management communication is weak.",Negative,Management
271,"Overall, Good performance bonuses and benefits.",Positive,Salary
272,"Generally speaking, Legacy systems make daily work harder.",Negative,Technology
273,"Compared with peers, Career growth is limited and unclear.",Negative,Growth
274,"Generally speaking, Team morale is low in some departments.",Negative,Culture
275,"From my team’s perspective, Growth opportunities depend on the project.",Neutral,Growth
276,"Generally speaking, Perks are minimal compared to other companies.",Negative,Perks
277,"In my experience, Work-life balance is fine most weeks.",Neutral,Culture
278,"At times, Clear opportunities to learn and advance.",Positive,Growth
279,"Overall, Perks are standard and adequate.",Neutral,Perks
280,"At times, Work culture feels stressful and inconsistent.",Negative,Culture
281,"Generally speaking, Work culture varies by team.",Neutral,Culture
282,"Generally speaking, The technology stack is a mix of old and new tools.",Neutral,Technology
283,"From my team’s perspective, Perks are standard and adequate.",Neutral,Perks
284,"Generally speaking, Team morale is low in some departments.",Negative,Culture
285,"For the most part, Projects use modern cloud and automation tools.",Positive,Technology
286,"For the most part, Clear opportunities to learn and advance.",Positive,Growth
287,"In some cases, Perks are standard and adequate.",Neutral,Perks
288,"From my team’s perspective, Projects use modern cloud and automation tools.",Positive,Technology
289,"From my team’s perspective, Perks are standard and adequate.",Neutral,Perks
290,"Generally speaking, Learning is available, but mostly self-driven.",Neutral,Growth
291,"Generally speaking, Work-life balance is fine most weeks.",Neutral,Culture
292,"In some cases, Projects use modern cloud and automation tools.",Positive,Technology
293,"At times, Management communication is weak.",Negative,Management
294,"In some cases, Growth opportunities depend on the project.",Neutral,Growth
295,"Overall, Good performance bonuses and benefits.",Positive,Salary
296,"In some cases, Excellent collaboration across teams.",Positive,Culture
297,"Generally speaking, Modern technology stack and useful tools.",Positive,Technology
298,"Compared with peers, The technology stack is a mix of old and new tools.",Neutral,Technology
299,"In my experience, Work-life balance is fine most weeks.",Neutral,Culture
300,"Overall, Team morale is low in some departments.",Negative,Culture
301,"For the most part, Compensation is acceptable for the role.",Neutral,Salary
302,"Compared with peers, Helpful perks like flexible hours and leave.",Positive,Perks
303,"In my experience, Raises are small and infrequent.",Negative,Salary
304,"In some cases, Some tools are modern while others are legacy.",Neutral,Technology
305,"Overall, Work-life balance is fine most weeks.",Neutral,Culture
306,"From my team’s perspective, Career growth is limited and unclear.",Negative,Growth
307,"In some cases, Work culture varies by team.",Neutral,Culture
308,"Generally speaking, Work culture varies by team.",Neutral,Culture
309,"Overall, Helpful perks like flexible hours and leave.",Positive,Perks
310,"From my team’s perspective, Salary is competitive and fair.",Positive,Salary
311,"For the most part, Good performance bonuses and benefits.",Positive,Salary
312,"For the most part, Good performance bonuses and benefits.",Positive,Salary
313,"In some cases, Great work culture with supportive teammates.",Positive,Culture
314,"Generally speaking, Career growth is limited and unclear.",Negative,Growth
315,"At times, The technology stack is a mix of old and new tools.",Neutral,Technology
316,"Generally speaking, Perks are minimal compared to other companies.",Negative,Perks
317,"Generally speaking, Salary is competitive and fair.",Positive,Salary
318,"For the most part, Some tools are modern while others are legacy.",Neutral,Technology
319,"From my team’s perspective, Management is approachable and supportive.",Positive,Management
320,"From my team’s perspective, Raises are small and infrequent.",Negative,Salary
321,"At times, Perks are minimal compared to other companies.",Negative,Perks
322,"In my experience, Work-life balance is fine most weeks.",Neutral,Culture
323,"Compared with peers, Clear opportunities to learn and advance.",Positive,Growth
324,"Overall, Perks are minimal compared to other companies.",Negative,Perks
325,"From my team’s perspective, Compensation is acceptable for the role.",Neutral,Salary
326,"Generally speaking, Salary is competitive and fair.",Positive,Salary
327,"At times, Perks are standard and adequate.",Neutral,Perks
328,"At times, Management communication is weak.",Negative,Management
329,"From my team’s perspective, Promotion paths are not well defined.",Negative,Growth
330,"In my experience, The technology stack is outdated and slow.",Negative,Technology
331,"From my team’s perspective, Salary is average for the industry.",Neutral,Salary
332,"Compared with peers, Salary is average for the industry.",Neutral,Salary
333,"From my team’s perspective, Work culture varies by team.",Neutral,Culture
334,"For the most part, Good performance bonuses and benefits.",Positive,Salary
335,"Compared with peers, Projects use modern cloud and automation tools.",Positive,Technology
336,"For the most part, Perks are minimal compared to other companies.",Negative,Perks
337,"From my team’s perspective, Excellent collaboration across teams.",Positive,Culture
338,"In my experience, Management style differs across departments.",Neutral,Management
339,"For the most part, Work culture feels stressful and inconsistent.",Negative,Culture
340,"In some cases, Growth opportunities depend on the project.",Neutral,Growth
341,"Compared with peers, Some tools are modern while others are legacy.",Neutral,Technology
342,"Overall, Good performance bonuses and benefits.",Positive,Salary
343,"Generally speaking, Great work culture with supportive teammates.",Positive,Culture
344,"In some cases, Helpful perks like flexible hours and leave.",Positive,Perks
345,"In my experience, Management style differs across departments.",Neutral,Management
346,"Overall, Team morale is low in some departments.",Negative,Culture
347,"Compared with peers, Legacy systems make daily work harder.",Negative,Technology
348,"In my experience, Growth opportunities depend on the project.",Neutral,Growth
349,"From my team’s perspective, Team morale is low in some departments.",Negative,Culture
350,"For the most part, Work culture feels stressful and inconsistent.",Negative,Culture
351,"From my team’s perspective, Salary is competitive and fair.",Positive,Salary
352,"In my experience, Work culture varies by team.",Neutral,Culture
353,"For the most part, Projects use modern cloud and automation tools.",Positive,Technology
354,"In some cases, Management is approachable and supportive.",Positive,Management
355,"In some cases, The technology stack is outdated and slow.",Negative,Technology
356,"In some cases, Team morale is low in some departments.",Negative,Culture
357,"Overall, Perks are standard and adequate.",Neutral,Perks
358,"Generally speaking, Career growth is limited and unclear.",Negative,Growth
359,"Compared with peers, Career growth is limited and unclear.",Negative,Growth
360,"Compared with peers, Management is approachable and supportive.",Positive,Management
361,"At times, Helpful perks like flexible hours and leave.",Positive,Perks
362,"In my experience, Work-life balance is fine most weeks.",Neutral,Culture
363,"Overall, Promotion paths are not well defined.",Negative,Growth
364,"At times, Management is approachable and supportive.",Positive,Management
365,"At times, Learning is available, but mostly self-driven.",Neutral,Growth
366,"At times, Projects use modern cloud and automation tools.",Positive,Technology
367,"Compared with peers, Career growth is limited and unclear.",Negative,Growth
368,"Overall, Learning is available, but mostly self-driven.",Neutral,Growth
369,"For the most part, Modern technology stack and useful tools.",Positive,Technology
370,"In my experience, The technology stack is outdated and slow.",Negative,Technology
371,"For the most part, Salary is below market expectations.",Negative,Salary
372,"Compared with peers, Strong learning opportunities and skill growth.",Positive,Growth
373,"Overall, Helpful perks like flexible hours and leave.",Positive,Perks
374,"In my experience, Good performance bonuses and benefits.",Positive,Salary
375,"Generally speaking, Work-life balance is fine most weeks.",Neutral,Culture
376,"In my experience, Some tools are modern while others are legacy.",Neutral,Technology
377,"Overall, Career growth is limited and unclear.",Negative,Growth
378,"From my team’s perspective, Some tools are modern while others are legacy.",Neutral,Technology
379,"Overall, Salary is below market expectations.",Negative,Salary
380,"In some cases, Compensation is acceptable for the role.",Neutral,Salary
381,"Generally speaking, Team morale is low in some departments.",Negative,Culture
382,"Compared with peers, Great work culture with supportive teammates.",Positive,Culture
383,"For the most part, Work culture feels stressful and inconsistent.",Negative,Culture
384,"Compared with peers, Clear opportunities to learn and advance.",Positive,Growth
385,"From my team’s perspective, Clear opportunities to learn and advance.",Positive,Growth
386,"In some cases, Promotion paths are not well defined.",Negative,Growth
387,"At times, Great work culture with supportive teammates.",Positive,Culture
388,"In some cases, Career growth is limited and unclear.",Negative,Growth
389,"In some cases, Excellent collaboration across teams.",Positive,Culture
390,"Compared with peers, Work culture feels stressful and inconsistent.",Negative,Culture
391,"Compared with peers, Perks are minimal compared to other companies.",Negative,Perks
392,"In my experience, Work-life balance is fine most weeks.",Neutral,Culture
393,"In my experience, Great work culture with supportive teammates.",Positive,Culture
394,"For the most part, Management communication is weak.",Negative,Management
395,"Compared with peers, Promotion paths are not well defined.",Negative,Growth
396,"Compared with peers, Raises are small and infrequent.",Negative,Salary
397,"Overall, Compensation is acceptable for the role.",Neutral,Salary
398,"From my team’s perspective, Learning is available, but mostly self-driven.",Neutral,Growth
399,"At times, Clear opportunities to learn and advance.",Positive,Growth
400,"At times, Excellent collaboration across teams.",Positive,Culture
401,"Compared with peers, Management style differs across departments.",Neutral,Management
402,"At times, Helpful perks like flexible hours and leave.",Positive,Perks
403,"Overall, Some tools are modern while others are legacy.",Neutral,Technology
404,"Overall, Perks are minimal compared to other companies.",Negative,Perks
405,"Compared with peers, Helpful perks like flexible hours and leave.",Positive,Perks
406,"For the most part, Modern technology stack and useful tools.",Positive,Technology
407,"In my experience, Raises are small and infrequent.",Negative,Salary
408,"In my experience, Salary is competitive and fair.",Positive,Salary
409,"In some cases, Growth opportunities depend on the project.",Neutral,Growth
410,"For the most part, Management communication is weak.",Negative,Management
411,"In my experience, Management is approachable and supportive.",Positive,Management
412,"For the most part, The technology stack is a mix of old and new tools.",Neutral,Technology
413,"In my experience, Salary is average for the industry.",Neutral,Salary
414,"Generally speaking, Good performance bonuses and benefits.",Positive,Salary
415,"From my team’s perspective, Raises are small and infrequent.",Negative,Salary
416,"In my experience, Projects use modern cloud and automation tools.",Positive,Technology
417,"From my team’s perspective, Great work culture with supportive teammates.",Positive,Culture
418,"Generally speaking, Promotion paths are not well defined.",Negative,Growth
419,"Overall, Perks are minimal compared to other companies.",Negative,Perks
420,"Overall, Clear opportunities to learn and advance.",Positive,Growth
421,"At times, Helpful perks like flexible hours and leave.",Positive,Perks
422,"From my team’s perspective, Perks are standard and adequate.",Neutral,Perks
423,"Generally speaking, Salary is competitive and fair.",Positive,Salary
424,"For the most part, The technology stack is a mix of old and new tools.",Neutral,Technology
425,"Compared with peers, Strong learning opportunities and skill growth.",Positive,Growth
426,"In some cases, Salary is competitive and fair.",Positive,Salary
427,"Compared with peers, Great work culture with supportive teammates.",Positive,Culture
428,"In some cases, Promotion paths are not well defined.",Negative,Growth
429,"From my team’s perspective, Compensation is acceptable for the role.",Neutral,Salary
430,"Compared with peers, Salary is competitive and fair.",Positive,Salary
431,"Generally speaking, Clear opportunities to learn and advance.",Positive,Growth
432,"In my experience, Management style differs across departments.",Neutral,Management
433,"At times, Work culture feels stressful and inconsistent.",Negative,Culture
434,"In my experience, Raises are small and infrequent.",Negative,Salary
435,"Compared with peers, Helpful perks like flexible hours and leave.",Positive,Perks
436,"In my experience, Modern technology stack and useful tools.",Positive,Technology
437,"At times, Work culture feels stressful and inconsistent.",Negative,Culture
438,"Compared with peers, Management style differs across departments.",Neutral,Management
439,"At times, The technology stack is a mix of old and new tools.",Neutral,Technology
440,"At times, Helpful perks like flexible hours and leave.",Positive,Perks
441,"In my experience, Modern technology stack and useful tools.",Positive,Technology
442,"Generally speaking, Excellent collaboration across teams.",Positive,Culture
443,"Generally speaking, Learning is available, but mostly self-driven.",Neutral,Growth
444,"Compared with peers, Promotion paths are not well defined.",Negative,Growth
445,"For the most part, Management style differs across departments.",Neutral,Management
446,"Generally speaking, Team morale is low in some departments.",Negative,Culture
447,"Overall, Perks are minimal compared to other companies.",Negative,Perks
448,"From my team’s perspective, Great work culture with supportive teammates.",Positive,Culture
449,"Overall, Salary is below market expectations.",Negative,Salary
450,"In my experience, Helpful perks like flexible hours and leave.",Positive,Perks
451,"In some cases, Work culture feels stressful and inconsistent.",Negative,Culture
452,"Overall, Legacy systems make daily work harder.",Negative,Technology
453,"At times, Promotion paths are not well defined.",Negative,Growth
454,"For the most part, Excellent collaboration across teams.",Positive,Culture
